"VARIABLE TYPE","VARIABLE ABBREV","VARIABLE LABEL","VARIABLE NAME","VARIABLE DATA TYPE","VARIABLE ONTOLOGY ID","PROPERTY","PROPERTY ONTOLOGY ID","METHOD","FORMULA","METHOD ONTOLOGY ID","UNIT","SCALE ONTOLOGY ID","SCALE VALUE LIST","B4R VARIABLE ID","B4R RECORD COUNT"
"observation","AREA_FACT","AREA FACTOR","Area Factor","float","","AREA FACTOR","","The area factor use in computing for yield","AREA_FACT = 10/HV_AREA_SQM","","","","","2117","60120"
"observation","SEED_USED","SEED USED","AMOUNT OF SEED USED","float","","SEED SOURCE INFORMATION","","Amount of seeds used in grams","","","grams","","","600","59664"
"observation","PANNO1_CONT","PANNO1","Number of panicle for sample 1","integer","","Number of panicles","CO_320:0000009","For plant sample 1 - Count the number of panicles.","","","count","","","655","56659"
"observation","GRNWT_BULK_CONT","GRNWT_BULK_G","Grain weight from bulk samples in grams","float","","Grain yield 2","","Grain weight of bulk samples per plot","","","grams","","","643","55782"
"observation","AYLD_KG_CONT","AYLD_KG","Actual  plot yield in kilograms","float","","Grain yield 2","","Record the actual grain yield in a plot expressed in kilograms","","","kg per plot","","","628","54576"
"observation","PNL_CONT","PnL CM","panicle length","float","","Panicle length","CO_320:0000033","Enter actual measurements in centimeters from panicle base to tip. 

At growth stage: 8","PNL_CONT = AVE(PNL<OBSN>_CONT)","CO_320:0000475","cm","CO_320:0000476","","198","50799"
"observation","BB1_SCOR_1_9","BB1 1-9_PXO 61_FLD","Bacterial Blight (PXO 61 - Race 1) Field","integer","","Bacterial blight","CO_320:0000173","Race 1 Field Trial, severity: % leaf area diseased.
At growth stages: 3-4 kresek, (greenhouse evaluation of leaf blight)
5-8 (leaf blight)","","","","","1: 1-5%; 3: 6-12%; 5: 13-25%; 7: 26-50%; 9: 51-100%","21","48421"
"observation","BB2_SCOR_1_9","BB2 1-9_FLD","Bacterial Blight (PXO 86 - Race 2) Field","integer","","Bacterial blight","CO_320:0000173","Race 2 Field Trial, severity: % leaf area diseased
At growth stages:
3-4 kresek, (greenhouse evaluation of leaf blight)
5-8 (leaf blight)","","","","","1: 1-5%; 3: 6-12%; 5: 13-25%; 7: 26-50%; 9: 51-100%","22","47673"
"observation","YLD_0_CONT1","YLD_0_CONT1","Plot yield in kg/ha without MC","float","","Grain yield 2","","Computed as YLD_0_CONT1 = AYLD_CONT * 10 / ADJHVArea_CONT","YLD_0_CONT1 = AYLD_CONT * 10 / ADJHVAREA_CONT1","","kg/ha","","","414","47337"
"observation","CML1_CONT","CL1","Culm length plant 1","integer","","culm length","CO_320:0000030","For plant sample 1, Measure from soil surface to panicle base in centimeters.","","","cm","","","675","45265"
"observation","TIL_AVE_CONT_ENT","TILLER_AVG_ENT","Average tiller number_Entry","float","","Number of tillers","","Take the average of tillers observed from all replications.","TIL_AVE_CONT_ENT=AVE(TIL_AVE_CONT)","","","","","757","43815"
"observation","YLD_CONT1","YLD_CONT1","Plot yield at 14% MC in kg/ha using adjusted harvest area","float","CO_320:0000073","Grain yield","CO_320:0000073","Area harvested should not be less than 5 m2/plot (at least three border rows should be discarded). Report yield in kilogram per hectare on rough (paddy) rice at 14% moisture. [SES:12]","YLD_CONT1 = AYLD_CONT * MF_CONT * 10 / ADJHVAREA_CONT1","CO_320:0000469","kg/ha","CO_320:0000470","","413","41688"
"observation","BL_NURS_0_9","Bl1 0-9","Leaf blast","integer","","Leaf blast","CO_320:0000176","At growth stages: 2-3

Use this scale only for the nursery. Actual estimation of blast-affected leaf area (%) is recommended for field assessment of blast disease together with predominant lesion type (see coding system for lesion type).
Entries with scores 4-9 may also have lesions of scale 1 or 2. In cases where the lesion develops only on the collar, joint of the leaf sheath, and the leaf blade, causing the leaf blade to drop off, a scale unit of 4 is to be given.
Entries with consistent rating, between 4 and 6 with overall average not higher than 5.5 may have a good level of quantitative resistance.","","","","","0: No lesions observed; 1: Small brown specks of pin-point size or larger brown specks without sporulating center; 2: Small roundish to slightly
elongated, necrotic gray spots, about 1-2 mm in diameter, with a distinct brown margin. Lesions are mostly found on the lower leaves; 3: Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves; 4: Typical susceptible blast lesions2 3 mm or longer, infecting less than 4% of the leaf area; 5: Typical blast lesions infecting 4-10% of the leaf area; 6: Typical blast lesions infection 11-25% of the leaf area; 7: Typical blast lesions infecting 26-50% of the leaf area; 8: Typical blast lesions infecting 51-75% of the leaf area and many leaves are dead; 9: More than 75% leaf area affected","157","38435"
"observation","PANNO2_CONT","PANNO2","Number of panicle for sample 2","integer","","Number of panicles","CO_320:0000009","For plant sample 2 - Count the number of panicles.","","","count","","","656","38355"
"observation","SAL_EC18_1_9","Sal (EC18) 1-9","Salt injury (EC18)","integer","","Salt injury","","Used Hydroponic system using PETERs 20-20-20 solution to screen salinity tolerance. 

unit used: EC18 dSm
At seedling stage","","","","","1: Growth and tillering nearly normal; 3: rowth nearly normal but there is some reduction in tillering and some leaves whitish and rolled; 5: Growth and tillering reduced; most leaves rolled; only a few elongating; 7: Growth completely ceases; most leaves dry; some plant dying; 9: Almost all plants dead or dying","734","38109"
"observation","PANNO3_CONT","PANNO3","Number of panicle for sample 3","integer","","Number of panicles","CO_320:0000009","For plant sample 3 - Count the number of panicles.","","","count","","","657","37058"
"observation","PNL_CONT_AVE","PnL Ave","Average of Panicle Length","float","","Panicle length","CO_320:0000033","Compute for the average panicle length from all samples per plot, record in cm.","PNL_CONT_AVE = AVE(PNL<OBSN>_CONT)","","cm","","","1207","36075"
"observation","PHP_SCOR_1_9","PHP 1-9","Phenotypic Acceptability of Plants","integer","","Phenotypic Acceptability","CO_320:0000075","Phenotypic Acceptability of Plants","","","","","1: Excellent; 3: Good; 5: Fair; 7: Poor; 9: Unacceptable","617","36013"
"observation","YLD_TON_HA","YLD TON/HA","yield ton/ha","float","","Grain yield","CO_320:0000073","Computed","","","","","","2136","35706"
"observation","PRODTILL1_CONT","PRODTILL1","productive tiller","integer","","productive tiller","","For plant sample 1 - Count the number of tillers with panicles.","","","","","","685","34484"
"observation","PRODTILL2_CONT","PRODTILL2","productive tiller","integer","","productive tiller","","For plant sample 2 - Count the number of tillers with panicles.","","","","","","686","34416"
"observation","PRODTILL3_CONT","PRODTILL3","productive tiller","integer","","productive tiller","","For plant sample 3 - Count the number of tillers with panicles.","","","","","","687","34388"
"observation","YLD_CONT_TON","YLD_TON","Plot yield in ton/ha","float","","Grain yield","CO_320:0000073","Total grain yield expressed in tons","YLD_CONT_TON = YLD_CONT2 / 1000","","tons","","","754","32115"
"observation","YLD_CONT2","YLD_CONT2","Plot yield in kg/ha computed using EPS","float","","Grain yield","CO_320:0000073","Area harvested should not be less than 5 m2/plot (at least three border rows should be discarded). Report yield in kilogram per hectare on rough (paddy) rice at 14% moisture.","YLD_CONT2 = AYLD_CONT * MF_CONT * 10/HV_AREA_SQM","","kg/ha","","","1143","32033"
"observation","GRNWT_PLANT_CONT","GRNWT_PLANT_G","Grain weight from selected plant samples in grams","float","","Grain yield 2","","Grain weight of selected plant samples per plot","","","grams","","","642","31750"
"observation","PACP_SCOR_1_9","Pacp 1-9","Phenotypic acceptability","integer","CO_320:0000075","Phenotypic Acceptability","CO_320:0000075","Breeding objectives for each variety and trait varies. The evaluation should reflect the overall acceptability of the variety in the location where it is being grown. At growth stage: 9. ","","CO_320:0000322","","CO_320:0000323","1: Excellent; 3: Good; 5: Fair; 7: Poor; 9: Unacceptable","206","30929"
"observation","PHPN_SCOR_1_9","PHPN 1-9","Phenotypic Acceptability of Panicles","integer","","Phenotypic Acceptability","CO_320:0000075","Phenotypic Acceptability of Panicles","","","","","1: Excellent; 3: Good; 5: Fair; 7: Poor; 9: Unacceptable","618","30246"
"observation","CML2_CONT","CL2","Culm length plant 2","integer","","culm length","CO_320:0000030","For plant sample 2, Measure from soil surface to panicle base in centimeters.","","","cm","","","676","29577"
"observation","PHG_SCOR_1_9","PHG 1-9","Phenotypic Acceptability of Grains","integer","","Phenotypic Acceptability","CO_320:0000075","Phenotypic Acceptability of Grains","","","","","1: Excellent; 3: Good; 5: Fair; 7: Poor; 9: Unacceptable","619","29503"
"observation","CML3_CONT","CL3","Culm length plant 3","integer","","culm length","CO_320:0000030","For plant sample 3, Measure from soil surface to panicle base in centimeters.","","","cm","","","677","29502"
"observation","PNL_CONT_ENT","PNL_AVG_ENT","Average panicle length_Entry","float","","Panicle length","CO_320:0000033","Compute for the average of all panicle lengtht observed from all replications, record in cm.","PNL_CONT_ENT = AVE(PNL_CONT)","","cm","","","1602","24881"
"observation","FE_XRF1_CONT","Fe XRF1","Iron XRF reading 1","float","","X-ray fluorescence spectrometry","","10g of polished samples is used for grain zinc/iron evaluation using XRF","","","","","","1366","24692"
"observation","FGLW1_CONT_CM","FGLW1","Flag Leaf Width of Plant1","float","CO_320:0000137","Flag Leaf Width","CO_320:0000137","For Plant Sample 1, Measure width at the widest portion of the flag leaf on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis.","","","cm","","","1197","24690"
"observation","ZN_XRF1_CONT","Zn XRF1","Zinc XRF reading 1","float","","X-ray fluorescence spectrometry","","10g of polished samples is used for grain zinc/iron evaluation using XRF","","","","","","1352","24686"
"observation","ZN_XRF2_CONT","Zn XRF2","Zinc XRF reading 2","float","","X-ray fluorescence spectrometry","","Quantify the amount of iron in grains.
10g of polished samples is used for grain zinc/iron evaluation using XRF.","","","","","","1353","24155"
"observation","FE_XRF2_CONT","Fe XRF2","Iron XRF reading 2","float","","X-ray fluorescence spectrometry","","10g of polished samples is used for grain zinc/iron evaluation using XRF","","","","","","1367","24153"
"observation","MAT_DATE_CONT","Maturity date","Maturity date","date","","Maturity","CO_320:0000082","Record the date of which 50% of plants that exhibits physiological maturity (ready for harvest) within a population.","","","","","","1560","23749"
"observation","SAL_EC12_1_9","Sal (EC12) 1-9","Salt injury (EC 12)","integer","","Salt injury","","Used Hydroponic system using PETERs 20-20-20 solution to screen salinity tolerance. 

unit used: EC12 dSm
At seedling stage","","","","","1: Growth and tillering nearly normal; 3: rowth nearly normal but there is some reduction in tillering and some leaves whitish and rolled; 5: Growth and tillering reduced; most leaves rolled; only a few elongating; 7: Growth completely ceases; most leaves dry; some plant dying; 9: Almost all plants dead or dying","733","22912"
"observation","FLW_100DATE_CONT","FLW 100DATE","Date of 100% flowering","date","","Flowering date","","Date of 100% flowering per plot","","","","","","1437","22726"
"observation","PANNO_CONT","PANNO_AVG","Panicle number_AVG","integer","","Number of panicles","CO_320:0000009","Record the number of panicles per plant. Stage:early ripening. [RD:7.4.17]","PANNO_CONT = AVE(PANNO<OBSN>_CONT)","","count","","","429","21991"
"observation","YLD_CONT1_ENT","YLD1_AVG","Average grain yield in kg/ha observed from all replications","float","","Grain yield","CO_320:0000073","Average of grain yield in kg/ha observed from all replications.","YLD_CONT1_ENT = AVE(YLD_CONT1)","","kg/ha","","","758","21716"
"observation","FLW_50DAYS_CONT","FLW 50DAYS","Days to 50% Flowering","float","","days to flowering","CO_320:0000083","Counting the number of days to 50% flowering from seed sowing","","","","","","1433","21497"
"observation","PRODTILL_CONT","PRODTILL AVE","productive tiller","float","","productive tiller","","The average count of productive tillers from number of plant samples.","PRODTILL_CONT = AVE(PRODTILL<OBSN>_CONT)","","","","","430","21340"
"observation","YLD_0_CONT2","YLD_0_CONT2","Plot yield in kg/ha computed using EPS and without moisture","float","","Grain yield 2","","Computed as YLD_0_CONT2 = AYLD_CONT * 10/HV_Area_SQM","YLD_0_CONT2 = AYLD_CONT * 10 / HV_AREA_SQM","","kg/ha","","","1144","20418"
"observation","FGLL2_CONT_CM","FGLL2","Flag Leaf Length of Plant Sample 2","float","CO_320:0000138","flag leaf length","CO_320:0000138","For plant sample 2""Measure length of the flag leaf, from the ligule to the tip of the blade, on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis."" [RD:7.3.20]","","","cm","","","1202","19950"
"observation","YLD_0_CONT1_ENT","YLD_0_CONT1_AVG","Average plot yield in kg/ha and without MC from all replications","float","","Grain yield 2","","Average of plot yield in kg/ha observed from all replications, without MC","YLD_0_CONT1_ENT = AVE(YLD_0_CONT1)","","kg/ha","","","759","19923"
"observation","FGLL3_CONT_CM","FGLL3","Flag Leaf Length of Plant Sample 3","float","CO_320:0000138","flag leaf length","CO_320:0000138","For Plant Sample 3: ""Measure length of the flag leaf, from the ligule to the tip of the blade, on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis."" [RD:7.3.20]","","","cm","","","1203","19902"
"observation","FGLW2_CONT_CM","FGLW2","Flag Leaf Width of Plant2","float","CO_320:0000137","Flag Leaf Width","CO_320:0000137","For Plant Sample 2, Measure width at the widest portion of the flag leaf on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis.","","","cm","","","1198","19816"
"observation","FLA2_CONT_ADEG","FLA2","Flag Leaf Angle of Plant Sample 2","integer","CO_320:0000017","flag leaf angle","CO_320:0000017","The angle of attachment between the flag leaf blade and the main panicle axis  of plant sample number 2. Sample size = 5 At growth stages: 4-5","","","ARC DEGREE","","","1194","19692"
"observation","FGLL1_CONT_CM","FGLL1","Flag Leaf Length of Plant Sample 1","float","CO_320:0000138","flag leaf length","CO_320:0000138","For Plant Sample 1: ""Measure length of the flag leaf, from the ligule to the tip of the blade, on five representative plants. Calculate average to nearest cm. Stage: 7 days after
anthesis."" [RD:7.3.20]","","","cm","","","1201","19690"
"observation","FLA1_CONT_ADEG","FLA1","Flag Leaf Angle of Plant Sample 1","integer","CO_320:0000017","flag leaf angle","CO_320:0000017","The angle of attachment between the flag leaf blade and the main panicle axis of plant sample number 1. 
Sample size = 5
At growth stages: 4-5

","","","ARC DEGREE","","","1193","19650"
"observation","FLA3_CONT_ADEG","FLA3","Flag Leaf Angle of Plant Sample 3","integer","CO_320:0000017","flag leaf angle","CO_320:0000017","The angle of attachment between the flag leaf blade and the main panicle axis  of plant sample number 3. Sample size = 5 At growth stages: 4-5","","","ARC DEGREE","","","1195","19648"
"observation","FGLW3_CONT_CM","FGLW3","Flag Leaf Width of Plant Sample 3","float","CO_320:0000137","Flag Leaf Width","CO_320:0000137","For Plant Sample 3, Measure width at the widest portion of the flag leaf on five representative plants. Calculate average to nearest cm. Stage: 7 days after anthesis.","","","cm","","","1199","19632"
"observation","MAT_CONT2","MAT afterFLW","Days of Maturity after FLW","integer","","Maturity","CO_320:0000082","Use the number of days from flowering to grain ripening (80%  of grains on panicle are matured). At growth stage: 9 ","MAT_CONT2=MAT_DATE_CONT - FLW_DATE_CONT","","","","","1899","19505"
"observation","MC_HARV_CONT","MC HARVESTER","MOISTURE_CONTENT_HARVESTER","float","","moisture content","","Moisture content reading from  Winterstieger harvester","","","percent","","","591","19407"
"observation","GRNYLD_HARV_CON","AYLD_MECH_KG","Mechanized Plot Yield in Kilograms","float","","Grain yield 2","","Grain yield using machine harvester","","","kg per plot","","","590","19380"
"observation","FLW_HDATE_CONT","FLW HDATE","Date of Heading","date","","Flowering date","","Date when the first plant in a plot headed","","","","","","1435","18750"
"observation","YLD_CONT2_ENT","YLD_CONT2_AVG","Average plot yield in kg/ha from all replications","float","","Grain yield","CO_320:0000073","Average of plot yield in kg/ha at 14% moisture, computed from all replications.","YLD_CONT2_ENT = AVE(YLD_CONT2)","","kg/ha","","","1147","18718"
"observation","CML_CONT","CL","culm length","float","","culm length","CO_320:0000030","Measure from soil surface to panicle base in centimeters. 
Sample size=5. 
At growth stage 7-9 [SES4:104][SES5:104]","CML_CONT = AVE(CML<OBSN>_CONT)","CO_320:0000229","cm","CO_320:0000234","","75","18307"
"observation","GLH_SCOR_0_9","GLH 0-9","Green leafhopper","integer","CO_320:0000200","Green leafhopper","CO_320:0000200","At growth stages: 2 (greenhouse)
3-9 (field)

Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.
","","","","","0: No injury; 1: Very slight injury; 3: First and 2nd leaves yellowing; 5: All leaves yellow; pronounced stunting or both; 7: More than half the plants dead; remaining plants stunting and/or wilting; 9: All plants dead","139","18061"
"observation","PLTHGT_AVE","PLTHGT AVG","Average plant height","float","","Plant height","CO_320:0000076","","","","","CO_320:0000480","","631","17801"
"observation","YLD_CONT_TON_ENT","YLD_TON_AVG","Average yield in ton/ha from all replications","float","","Grain yield","CO_320:0000073","Average of plot yield in tons/ha observed from all replications.","YLD_CONT_TON_ENT = AVE(YLD_CONT_TON)","","tons","","","760","17311"
"observation","TPLYLD_CONT_PS","TOTAL_AYLD_PS","Total plot yield with plant samples in grams","float","","Grain yield 2","","Computed as final harvest from a plot + all preliminary sub sample harvested 
","TPLYLD_CONT_PS = AYLD_CONT + SUM(GRNWT_PS<OBSN>_CONT) + 	GRNWT_PLANT_CONT","","grams","","","411","17225"
"observation","ADJAYLD_KG_CONT4","Corrected PlotYield(KG)_MC","Corrected Plot Yield in Kg adjusted to 14%MC","float","","Grain yield","CO_320:0000073","computed as ADJAYLD_KG_CONT4 =  (AYLD_KG_CONT/HVHILL_CONT) * TOTAL_HILL_CONT *MF_CONT","ADJAYLD_KG_CONT4 = ( AYLD_KG_CONT/HVHILL_CONT) * TOTAL_HILL_CONT *MF_CONT","","kg","","","1755","17195"
"observation","THRESHDATE_HARV_CONT","Threshing date using CST","Threshing date using Stationary Thresher","date","","Threshing date","","Upon threshing using Stationary Thresher, threshing date per plot was produced","","","","","","1415","16956"
"observation","FLW_100DAYS_CONT","FLW 100DAYS","Days to 100% Flowering","float","","days to flowering","CO_320:0000083","Counting the number of days to 100% flowering from seed sowing","","","","","","1434","16907"
"observation","FLW_HDAYS_CONT","FLW HDAYS","Days to Heading","float","","days to flowering","CO_320:0000083","Counting the number of days to heading of the first plant from seed sowing","","","","","","1432","16644"
"observation","VVG_SCOR_1_9","VVg 1-9","Vegetative vigor","integer","CO_320:0000167","Vegetative vigor","","At growth stage: Tillering. [SES:1]","","CO_320:0000312","","CO_320:0000313","1: very fast growing; plants at 5-6 leaf stage have 2 or more tillers in majority of population; 3: fast growing; plants at 4-5 stage have 1-2 tillers in majority of population; 5: plant at 4-leaf stage; 7: plants somewhat stunted; 3-4 leaves; thin population; no tiller formation; 9: stunted growth; yellowing of leaves","301","15949"
"observation","YLD_CONT_TON6","YLD_TON6","Grain yield in ton/ha","float","","Grain yield","CO_320:0000073","Grain yield in ton/ha using corrected plot yield","YLD_CONT_TON6  =  ADJAYLD_KG_CONT4 * 10/HV_AREA_SQM","","","","","1756","15905"
"observation","YLD_0_CONT2_ENT","YLD_0_CONT2_AVG","Average plot yield per kg/ha computed from all replications and without moisture","float","","Grain yield 2","","Average plot yield in kg/ha observed from all replications and without moisture but not necessarily 0.","YLD_0_CONT2_ENT = AVG(YLD_0_CONT2)","","kg/ha","","","1148","15506"
"observation","AG_14DAS","AG_14DAS","AG survival at 14DAS","integer","","Anaerobic germination","","Germination ability of lines after flooding. Record the number of plants survived 14 days after seeding.","","","","","","1867","14819"
"observation","MAT80_DATE_CONT","80%Maturity date","80%Maturity date","date","","Maturity","CO_320:0000082","The date of which 80% of the population has exhibit physiological maturity (ready for harvest) within a population.","","","","","","2118","14778"
"observation","AG_21DAS","AG_21DAS","AG survival at 21DAS","integer","","Anaerobic germination","","Germination ability of lines after flooding. Record the number of plants survived 21 days after seeding.","","","","","","1868","14362"
"observation","DIS","Dis","Disease or insect notes","character varying","","FieldNotes","","Disease or insect notes","","","","","","1571","13829"
"observation","BRSC","BrSc","Breeder's score","character varying","","FieldNotes","","phenotypic acceptability (1,3, 5, 7, 9) ","","","","","1: Excellent; 3: Good; 5: Fair; 7: Poor; 9: Unacceptable","1573","13171"
"observation","YLD_CONT_TON5","YLD_TON5","Grain yield in ton/ha5","float","","Grain yield","CO_320:0000073","Manual measure of plotyield and MC","YLD_CONT_TON5 = ADJAYLD_KG_CONT * 10/HV_AREA_SQM","","","","","1475","13132"
"observation","PANNO_SEL","PANSEL","Number of panicles selected","integer","","PLANT SELECTION","","No. of panicle selected ","","","","","","1327","12320"
"observation","RTD_FLD_SCOR_1_9","RTD FLD 1-9","Rice tungro disease","integer","","Rice tungro disease","","Growth Stage: 3-5 (for the field)
Score and calculate DI at 4 weeks after inoculation in the greenhouse.","","","","","1: No symptom observed; 3: 1-10% height reduction, no distinct yellow to yellow orange leaf discoloration; 5: 11-30% height reduction, no distinct yellow to yellow orange leaf discoloration; 7: 31-50% height reduction, with distinct yellow to yellow orange leaf discoloration; 9: More than 50% height reduction, with distinct yellow to yellow orange discoloration","235","11390"
"observation","SEEDLING_COUNT","Seedling count","Seedling count","integer","","COUNT_SEEDLINGS","","Count and record the number of surviving seedlings after germination.","","","","","","505","11125"
